"","feature1","feature2","feature3","feature4","feature5","feature6","feature7","feature8","feature9","feature10","feature11","feature12","feature13","feature14","feature15","feature16","feature17","feature18","feature19","feature20","feature21","feature22","feature23","feature24","feature25","feature26","feature27","feature28","feature29","feature30","feature31","feature32","feature33","feature34","feature35","feature36","feature37","feature38","feature39","feature40"
"cell1",15.6170579972596,5.49404189573878,11.8043710422547,1.58947472489683,3.78824510343013,5.0364941218693,5.70042512121006,10.7383246019635,4.47370996402233,8.37597379056259,6.39862577346403,14.5769896336833,15.5335614532547,5.35543369549413,5.30109584674825,10.5063557583029,12.1000303880241,0,3.84761458792327,3.87882807775161,1.9561597949969,13.4170984383614,13.9005017934397,14.5721652655265,6.38817798369152,2.15439659223236,16.7059586095821,1.21727875262221,0,17.6761327657852,2.5078902424583,13.085036103148,18.5116730851551,0,10.8726674649551,1.5547508092139,20.2133617082683,1.86727965810891,0,2.34934810010254
"cell2",0,1.43674653846499,6.20864266286087,0,4.3361918021461,10.414493311938,0,7.42586730617941,0,9.64896702338001,12.7509590782765,20.7492775334111,18.6125418955054,9.38662802116727,8.00165900667362,4.73915382164552,6.68097746018734,1.25648941294858,7.34171233245064,6.74113975486884,0,13.3629086120219,3.342631500554,16.459484620419,1.50749805832516,0,22.4621233082862,0,0.435069251996438,14.9086160542451,2.7899511694692,11.7085428113817,18.0821024535671,5.87699000022162,7.56101511201344,0,15.8936779495061,0,0,1.49399530972765
"cell3",10.7886587555362,2.24728588854718,0.23235180053267,0,3.04769596182086,8.12490826071506,3.52195115925451,2.35082912795963,0,21.727916940388,14.8109564442879,15.4381431827904,21.5454172473635,12.0607153660204,9.93613604741446,2.95287968492167,0,2.31647707269959,15.4093168262985,9.062843812809,3.45410096168551,16.9218661171898,4.71078089944349,13.2561471849184,2.47230808543134,2.11647213420945,9.51317252919675,9.32301980314165,4.41248713232442,20.5129591049913,0,3.65610254022724,15.5485752635459,3.2512930663449,2.67824617242115,0.125293354599276,5.75030192499296,5.43527458727319,0,1.93058780311652
"cell4",0.472802719267934,8.24210276251394,12.3899370051344,0,1.79644724824519,4.16211488532561,13.2731607857324,11.7156240657688,3.16739893759462,14.3501783111643,7.07515260116859,9.83977795607181,16.8399401041027,4.75542920493175,5.16582500734388,11.6557244609169,7.08448838304466,6.98525589553015,4.47259239026833,5.1546306745005,0,18.7096261575992,11.6141838463431,16.9801203946051,4.07614608298056,0,18.5740589132955,0,0.0806877903193647,11.8109813954176,1.76169571750868,12.8877388951184,20.5865239621667,0,11.3688077548805,0,18.2137911956764,2.17558066493776,3.15322568513931,0
"cell5",7.43595557809,8.83846639501278,12.5911736320437,4.61385470937398,13.1283802444256,1.32493495564961,10.3113024460664,12.6128846049458,7.14127456021431,2.7262166512594,0,10.0204338174862,9.0225762548918,2.93528756781798,3.43460959717369,13.7638470376138,12.3954612624994,5.47072717410059,4.7976041136163,2.71843161135097,0.214922441428512,17.4902914267726,14.6559373305005,19.1686415872864,0,0,20.7402370365459,0,0.0387145482605346,13.4972419071625,0,13.0025231999499,17.1721129730637,0,13.3126006694277,2.05495583124263,18.7444168172755,0,0.277656681636183,0
"cell6",0,0,11.7707156536972,2.9608996338186,5.95097485244503,7.06679245939299,8.9651376622998,9.67290244726763,1.47396693226108,7.12283958940223,2.04592468826672,19.6441726306838,18.1005874854432,5.13228541176402,3.89791404885848,11.568693230513,14.2164206012929,7.13590831071415,2.8885195763905,2.54391256874317,0,15.280203772654,11.7949929236028,11.1078072883099,0,0.849417649228991,15.3179189545944,5.55835906379969,0.0922190657134873,13.3962703493076,0,12.8540072653982,21.2636323238754,0,14.5037809836828,2.40587799464631,18.2788943667404,0,0,2.04233405864546
"cell7",4.77651580464227,0,2.49495606209111,0,1.04009105408498,12.3971130792387,0,3.40713317372686,0,22.3410896876787,13.9099343735266,21.5728864962375,16.3103343397992,11.0498430668655,7.2805914588237,5.1231163800673,1.81596377859493,0.566169652495635,12.6620965644159,9.24852512089931,0.29654746241539,12.2628112912759,7.05972849442279,23.9751123246219,5.34080853090665,2.70240438240394,13.6425129112102,3.17421812412636,1.15908135386611,19.698842182312,1.69445743960529,9.34968338444044,16.0786641753711,8.77046015392356,9.05943124903292,0,13.7653583285772,1.85559223155003,0,6.52951753647884
"cell8",0,0.0191792564185661,1.92697561242811,0.496071344175927,0.611734199101071,9.77256208122427,0.635595270647258,2.25082858298562,1.17699112598693,15.7275062394564,17.335362184028,21.4351348718662,21.8077397647566,9.98101879842863,9.03512021343682,0,0.0270551563288546,2.45709306183966,12.8247818858241,10.2403106561187,4.32521542224029,16.8900854783387,11.6299677863521,18.9942944925667,5.31796882312133,0,15.0669188734497,0.488421574682348,0,14.6428754977261,0,13.085036103148,19.6635989543207,0,13.2537135052699,6.39802513552442,18.6681457903659,0.0930030431079299,3.7772157602787,0
"cell9",0,6.63012137320317,2.72427636115915,0,3.48561545932091,12.7559583332188,0,0,0.0637292885930992,13.8372267846476,12.9301047624734,19.72549393141,19.0244972730048,12.117233392455,7.76618653440927,0.848442915779763,0.341286819408782,0.335070906518441,13.0348338496213,15.7413112266081,0.446718651771068,19.2545577427059,10.9322385646045,12.4021606183125,0,3.14198946247066,7.99929686643722,2.78994862490221,5.10070162043687,11.43363210387,0,3.06233887583798,12.9701198137708,0,0,0,5.86195019918718,2.9501881455033,0,9.07083795186098
"cell10",0,0,1.23790822553863,0,0,6.52181693990248,5.66978113991918,6.4593266880525,0.577184377999063,13.5608858188032,14.171020659014,16.7166995477314,22.0972336103753,10.7843970138171,8.90399892247849,0,1.96124952218635,1.46512379811067,10.0413006658676,9.06078319094055,0,18.8546229148754,19.9324449340926,16.0185015864867,0.950137073471149,0,15.3682619945975,0,0.946126495512677,12.654013060048,0,9.99924833454549,17.8293262917687,0,13.5248173993206,5.44600308605576,15.1315181192973,0,0,0.72973153317526
"cell11",4.12125671062368,2.50910520701973,7.43503944965094,0,0,8.92163072864568,0,9.47326170916717,1.0376582552821,21.7442747640197,7.398013793605,23.0912027166038,19.9653630082133,8.26053224614569,6.54032453141155,1.49468769991236,6.33827731307184,5.27913710741743,7.39352183819009,6.61715905584318,0.734096285471025,14.4822734890059,14.7667259270159,13.3744411444909,0,0,13.4372079725404,0,0,13.2995718535876,0,13.085036103148,22.2609916733443,0,11.6157416535952,3.75658521147585,19.0966595115323,0,1.21774931435859,2.84497506891063
"cell12",6.5239203931418,4.10942335179385,8.6747019207508,1.61666727386017,0,13.4704513068557,2.65239152559666,9.85116701660522,0.397656178800236,10.1902197150749,10.9822035045151,17.3375775318539,19.8172904097265,8.30146209213797,8.90316011796496,8.56799070240829,0.602364448198865,0,9.44509807719586,9.52916338339409,0,15.0096941529735,7.87521626565005,16.9059874623418,0,0,19.2089016982131,0,0,9.8194056238869,2.27847748049467,13.085036103148,19.6060523625978,0,13.5377108337788,2.17939653196372,17.6603578916982,2.04004289760551,0,0
